security_standard_level,n,depth,num_threads,CKKS_Add,CKKS_Bootstrap,CKKS_Logistic,CKKS_Mult,CKKS_Mult_Plaintext,CKKS_Rotate,CKKS_Sub,CKKS_Add_count,CKKS_Bootstrap_count,CKKS_Logistic_count,CKKS_Mult_count,CKKS_Mult_Plaintext_count,CKKS_Rotate_count,CKKS_Sub_count,CKKS_Mult_Plaintext_contribution,CKKS_Add_contribution,CKKS_Rotate_contribution,CKKS_Bootstrap_contribution,CKKS_Sub_contribution,CKKS_Mult_contribution,CKKS_Logistic_contribution,estimated_Energy
128c,12,10,1,1.890483870967742,1268.1499999999996,872.1100000000001,16.31000000000006,0.8712499999999892,18.519999999999985,1.4699999999999989,5,5,5,5,5,5,5,34.84999999999957,73.72887096774194,370.3999999999997,11413.349999999997,27.92999999999998,146.79000000000053,8721.100000000002,20788.148870967743
128c,12,10,2,2.6376470588235303,774.77,632.0099999999999,22.79000000000002,0.2066666666666776,19.04000000000002,0.4540000000000006,5,5,5,5,5,5,5,8.266666666667104,102.86823529411768,380.8000000000004,6972.93,8.626000000000012,205.11000000000018,6320.0999999999985,13998.700901960785
128c,12,10,4,2.4107692307692314,471.4200000000001,494.1100000000001,18.529999999999973,1.061,21.92500000000001,0.6227499999999999,5,5,5,5,5,5,5,42.44,94.02000000000002,438.5000000000002,4242.780000000001,11.832249999999998,166.76999999999975,4941.100000000001,9937.442250000002
128c,12,10,8,2.9292156862745102,435.54,458.93000000000006,20.833333333333314,0.2779166666666626,14.21666666666664,0.8397916666666703,5,5,5,5,5,5,5,11.116666666666504,114.23941176470589,284.3333333333328,3919.86,15.956041666666735,187.49999999999983,4589.300000000001,9122.305453431372
128c,12,10,16,3.329642857142858,527.6500000000001,480.22,23.329999999999984,0.555333333333337,17.68333333333328,1.0235999999999983,5,5,5,5,5,5,5,22.21333333333348,129.85607142857145,353.6666666666656,4748.85,19.448399999999967,209.96999999999986,4802.200000000001,10286.204471428573
128c,12,10,32,3.6798,554.23,494.2600000000001,17.893333333333317,0.6217241379310323,16.143333333333317,0.8087999999999997,5,5,5,5,5,5,5,24.868965517241293,143.5122,322.86666666666633,4988.07,15.367199999999995,161.03999999999985,4942.600000000001,10598.325032183908
128c,12,14,1,13.049375,2174.95,1054.19,41.870000000000005,2.327142857142832,40.66999999999996,1.31388888888889,5,5,5,5,5,5,5,93.08571428571328,508.92562499999997,813.3999999999992,19574.55,24.96388888888891,376.83000000000004,10541.900000000001,31933.655228174604
128c,12,14,2,13.926666666666666,1615.6499999999996,760.34,29.58999999999992,1.7854545454545416,33.85999999999996,1.2696153846153848,5,5,5,5,5,5,5,71.41818181818167,543.14,677.1999999999991,14540.849999999997,24.12269230769231,266.3099999999993,7603.400000000001,23726.44087412587
128c,12,14,4,15.430952380952384,1209.3200000000002,582.9300000000001,26.619999999999948,1.8476470588235256,22.47499999999997,1.2164705882352926,5,5,5,5,5,5,5,73.90588235294102,601.8071428571429,449.4999999999994,10883.880000000001,23.11294117647056,239.57999999999953,5829.300000000001,18101.085966386556
128c,12,14,8,14.821904761904758,1122.2999999999995,534.7900000000001,23.980000000000015,1.4213043478260872,19.56,1.1004878048780498,5,5,5,5,5,5,5,56.85217391304349,578.0542857142856,391.2,10100.699999999995,20.909268292682945,215.82000000000014,5347.900000000001,16711.43572792001
128c,12,14,16,14.58186046511628,1192.1800000000003,558.52,27.360000000000014,0.7529629629629611,19.56,1.1242857142857154,5,5,5,5,5,5,5,30.118518518518442,568.692558139535,391.2,10729.620000000003,21.361428571428593,246.24000000000012,5585.2,17572.432505229484
128c,12,14,32,15.059761904761906,1235.11,576.5,17.07499999999999,0.8403846153846146,18.343333333333305,0.7776190476190479,5,5,5,5,5,5,5,33.615384615384585,587.3307142857143,366.8666666666661,11115.99,14.77476190476191,153.6749999999999,5765.0,18037.252527472527
none,16,10,1,0.2119424460431656,780.2700000000001,413.53,18.0,0.8368749999999991,17.079999999999984,0.8593333333333337,5,5,5,5,5,5,5,33.474999999999966,8.265755395683458,341.5999999999997,7022.430000000001,16.327333333333343,162.0,4135.299999999999,11719.398088729016
none,16,10,2,0.3180952380952382,599.4199999999998,303.82,12.613333333333316,0.4842307692307663,12.416666666666655,0.6447457627118647,5,5,5,5,5,5,5,19.36923076923065,12.40571428571429,248.33333333333312,5394.779999999999,12.25016949152543,113.51999999999984,3038.2,8838.858447879802
none,16,10,4,0.3241121495327106,483.87,242.26,10.087500000000006,0.2592500000000015,8.740000000000009,0.4657954545454545,5,5,5,5,5,5,5,10.37000000000006,12.640373831775713,174.80000000000018,4354.83,8.850113636363636,90.78750000000005,2422.6,7074.87798746814
none,16,10,8,0.3713761467889909,444.3200000000001,221.04,7.053999999999988,0.5161538461538484,7.281666666666666,0.5885106382978718,5,5,5,5,5,5,5,20.646153846153936,14.483669724770644,145.63333333333333,3998.880000000001,11.181702127659563,63.48599999999989,2210.4,6464.7108590319185
none,16,10,16,0.4413761467889907,492.62,251.79,10.422000000000011,0.576612903225806,9.758333333333326,0.5522641509433965,5,5,5,5,5,5,5,23.064516129032242,17.213669724770636,195.16666666666652,4433.58,10.493018867924533,93.7980000000001,2517.9,7291.215871388395
none,16,10,32,0.4214678899082567,513.23,260.38,11.414,0.6555172413793109,9.176000000000002,0.5671698113207553,5,5,5,5,5,5,5,26.220689655172436,16.43724770642201,183.52000000000004,4619.07,10.77622641509435,102.726,2603.8,7562.550163776688
none,16,14,1,0.361623931623932,1012.2900000000002,505.5799999999999,23.244999999999976,0.7071428571428555,21.799999999999983,0.8897435897435901,5,5,5,5,5,5,5,28.28571428571422,14.10333333333335,435.99999999999966,9110.610000000002,16.905128205128214,209.20499999999979,5055.799999999999,14870.909175824178
none,16,14,2,0.3230769230769228,759.19,369.72,16.980000000000018,0.5013043478260855,15.24666666666667,0.6701818181818187,5,5,5,5,5,5,5,20.05217391304342,12.59999999999999,304.9333333333334,6832.710000000001,12.733454545454554,152.82000000000016,3697.2000000000003,11033.048961791832
none,16,14,4,0.3918279569892471,600.4699999999999,293.75,15.24666666666667,0.4088571428571441,11.159999999999997,0.5775362318840598,5,5,5,5,5,5,5,16.354285714285762,15.281290322580638,223.19999999999993,5404.23,10.973188405797135,137.22000000000003,2937.5,8744.758764442664
none,16,14,8,0.2996739130434793,559.3499999999999,264.4800000000001,11.665000000000006,0.5974999999999984,10.38200000000002,0.5976190476190482,5,5,5,5,5,5,5,23.899999999999935,11.687282608695693,207.64000000000038,5034.15,11.354761904761915,104.98500000000006,2644.8000000000006,8038.517044513459
none,16,14,16,0.3777551020408163,612.7699999999999,290.01000000000005,13.26000000000002,0.6028301886792455,10.565999999999988,0.5828571428571427,5,5,5,5,5,5,5,24.11320754716982,14.732448979591837,211.31999999999977,5514.9299999999985,11.074285714285711,119.34000000000017,2900.1000000000004,8795.609942241046
